elapsed_s,rss_bytes,p99_seconds,queue_depth,cache_entries,session_resets,requests_total
0,,,0,0,0,0
30,,,0,0,0,480253
60,,,0,0,0,960790
90,,,0,0,0,1441233
120,,,0,0,0,1921706
150,,,0,0,0,2402241
180,,,0,0,0,2882750
210,,,0,0,0,3363304
240,,,0,0,0,3843785
270,,,0,0,0,4324213
300,,,0,0,0,4804656
330,,,0,0,0,5285107
360,,,0,0,0,5765581
390,,,0,0,0,6246087
420,,,0,0,0,6726540
450,,,0,0,0,7206997
480,,,0,0,0,7687478
510,,,0,0,0,8167957
540,,,0,0,0,8648362
570,,,0,0,0,9128807
600,,,0,0,0,9609286
631,,,0,0,0,10089784
661,,,0,0,0,10570294
691,,,0,0,0,11050731
721,,,0,0,0,11531203
751,,,0,0,0,12011661
781,,,0,0,0,12492139
811,,,0,0,0,12972578
841,,,0,0,0,13453049
871,,,0,0,0,13933503
901,,,0,0,0,14413969
931,,,0,0,0,14894454
961,,,0,0,0,15374953
991,,,0,0,0,15855317
1021,,,0,0,0,16335713
1051,,,0,0,0,16816069
1081,,,0,0,0,17296412
1111,,,0,0,0,17776801
1141,,,0,0,0,18257253
1171,,,0,0,0,18737694
1201,,,0,0,0,19218176
1231,,,0,0,0,19698616
1261,,,0,0,0,20179035
1291,,,0,0,0,20659423
1321,,,0,0,0,21139861
1351,,,0,0,0,21620225
1381,,,0,0,0,22100569
1411,,,0,0,0,22580913
1441,,,0,0,0,23061232
1471,,,0,0,0,23541674
1501,,,0,0,0,24022143
1531,,,0,0,0,24502580
1561,,,0,0,0,24982971
1591,,,0,0,0,25463409
1621,,,0,0,0,25943916
1651,,,0,0,0,26424295
1681,,,0,0,0,26904688
1711,,,0,0,0,27385082
1742,,,0,0,0,27865428
1772,,,0,0,0,28345782
1802,,,0,0,0,28826274
1832,,,0,0,0,29306747
1862,,,0,0,0,29787195
1892,,,0,0,0,30267551
1922,,,0,0,0,30747941
1952,,,0,0,0,31228347
1982,,,0,0,0,31708780
2012,,,0,0,0,32189146
2042,,,0,0,0,32669511
2072,,,0,0,0,33149817
2102,,,0,0,0,33630178
2132,,,0,0,0,34110637
2162,,,0,0,0,34591086
2192,,,0,0,0,35071532
2222,,,0,0,0,35551971
2252,,,0,0,0,36032390
2282,,,0,0,0,36512787
2312,,,0,0,0,36993158
2342,,,0,0,0,37473540
2372,,,0,0,0,37953931
2402,,,0,0,0,38434307
2432,,,0,0,0,38914679
2462,,,0,0,0,39395010
2492,,,0,0,0,39875444
2522,,,0,0,0,40355929
2552,,,0,0,0,40836333
2582,,,0,0,0,41316733
2612,,,0,0,0,41797224
2642,,,0,0,0,42277603
2672,,,0,0,0,42758013
2702,,,0,0,0,43238440
2732,,,0,0,0,43718803
2762,,,0,0,0,44199171
2792,,,0,0,0,44679496
2822,,,0,0,0,45159832
2852,,,0,0,0,45640311
2882,,,0,0,0,46120743
2913,,,0,0,0,46601177
2943,,,0,0,0,47081636
2973,,,0,0,0,47562057
3003,,,0,0,0,48042466
3033,,,0,0,0,48522864
3063,,,0,0,0,49003246
3093,,,2,0,0,49483612
3123,,,0,0,0,49963936
3153,,,0,0,0,50444255
3183,,,0,0,0,50924716
3213,,,0,0,0,51405206
3243,,,0,0,0,51885658
3273,,,0,0,0,52366115
3303,,,0,0,0,52846528
3333,,,0,0,0,53326937
3363,,,0,0,0,53807235
3393,,,0,0,0,54287580
3423,,,0,0,0,54767910
3453,,,0,0,0,55248227
3483,,,0,0,0,55728668
3513,,,0,0,0,56209179
3543,,,0,0,0,56689613
3573,,,0,0,0,57170103
