elapsed_s,rss_bytes,p99_seconds,queue_depth,cache_entries,session_resets,requests_total
0,,,0,0,0,0
30,,,0,0,0,420205
60,,,0,0,0,840618
90,,,0,0,0,1261054
120,,,0,0,0,1681467
150,,,0,0,0,2101874
180,,,0,0,0,2522273
210,,,0,0,0,2942684
240,,,0,0,0,3363120
270,,,0,0,0,3783518
300,,,0,0,0,4203914
330,,,0,0,0,4624338
360,,,0,0,0,5044740
390,,,0,0,0,5465202
420,,,0,0,0,5885639
451,,,0,0,0,6306060
481,,,0,0,0,6726503
511,,,0,0,0,7146913
541,,,0,0,0,7567338
571,,,0,0,0,7987793
601,,,0,0,0,8408220
631,,,0,0,0,8828608
661,,,0,0,0,9248932
691,,,0,0,0,9669268
721,,,0,0,0,10089560
751,,,0,0,0,10509871
781,,,0,0,0,10930267
811,,,0,0,0,11350677
841,,,0,0,0,11771090
871,,,0,0,0,12191499
901,,,0,0,0,12611893
931,,,0,0,0,13032276
961,,,0,0,0,13452612
991,,,0,0,0,13872961
1021,,,0,0,0,14293314
1051,,,0,0,0,14713668
1081,,,0,0,0,15133979
1111,,,0,0,0,15554399
1141,,,0,0,0,15974820
1171,,,0,0,0,16395263
1201,,,0,0,0,16815693
1231,,,0,0,0,17236076
1261,,,0,0,0,17656488
1291,,,0,0,0,18076829
1321,,,0,0,0,18497171
1351,,,0,0,0,18917533
1381,,,0,0,0,19337870
1411,,,0,0,0,19758149
1441,,,0,0,0,20178586
1471,,,0,0,0,20599016
1501,,,0,0,0,21019446
1532,,,0,0,0,21439859
1562,,,0,0,0,21860257
1592,,,0,0,0,22280662
1622,,,0,0,0,22701063
1652,,,0,0,0,23121416
1682,,,0,0,0,23541772
1712,,,0,0,0,23962095
1742,,,0,0,0,24382417
1772,,,0,0,0,24802763
